Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,3,3,3,3,5,0,0,4,4,4,3,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,0,3,4,3,3,3,4,3,2,3,3,3,4,4,4,0,5,3,4,4,3,3,3,4,4,4,3,3,4,4,5,4,4
accordion,3,4,3,3,5,3,3,4,4,4,3,6,4,2,0,5,3,3,3,3,4,3,2,6,6,4,4,6,6,3,0,3,4,6,0,0,3,4,4,0,4,3,2,3,4,4,2,3,5,4,0,2,3,4,4,0,3,0,5,2,0,0,0,4,3,3,4,4
activist,4,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,3,4,3,3,3,4,3,4,4,0,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,5,6,0,6,5,5,5,3,3,3,4,3,3,0,4,4,5,4,5,5
actor,4,3,3,3,4,3,5,5,4,4,3,4,4,4,4,4,0,3,4,3,4,3,4,4,3,3,3,4,5,4,3,3,5,5,5,0,3,5,4,3,4,3,4,4,3,4,4,4,5,6,0,6,3,5,4,3,3,3,5,3,3,0,3,4,4,3,6,4
advantage,4,4,3,4,5,4,4,4,4,4,4,5,4,4,3,4,3,4,5,4,6,4,3,4,3,5,4,5,4,6,5,5,4,5,4,0,4,6,3,4,4,4,4,4,5,4,4,4,4,6,0,4,4,4,4,3,3,0,6,3,2,0,4,5,5,4,4,4
advice,5,4,3,3,4,0,4,4,4,5,3,3,4,4,0,3,3,3,3,3,3,4,3,4,4,3,0,3,4,4,4,4,4,4,3,0,3,4,4,4,4,4,3,3,3,4,4,4,5,6,0,6,3,6,5,4,4,4,5,4,4,4,4,4,4,5,4,5
aggressive,4,3,5,3,4,4,4,3,4,4,3,3,0,3,3,3,4,2,0,3,2,4,4,4,5,2,5,3,4,2,3,3,3,4,5,4,4,4,4,4,4,2,4,4,3,3,3,0,3,4,0,4,4,4,3,3,0,4,3,3,4,4,4,4,5,3,3,4
agreement,4,4,3,3,3,3,3,4,4,4,3,3,4,3,4,2,3,3,3,3,3,3,3,4,3,3,0,4,4,4,4,3,4,4,3,0,3,4,3,5,4,4,4,4,4,4,4,4,5,6,0,6,4,5,5,3,4,4,5,2,3,0,0,3,4,5,4,4
airport,4,5,3,3,5,6,3,6,4,5,4,5,4,3,0,3,0,3,3,0,3,0,3,3,4,3,3,5,3,0,3,5,0,0,2,0,4,5,6,3,4,5,0,0,4,3,0,3,5,4,0,0,3,3,3,0,3,3,4,2,0,0,0,3,3,3,4,4
alligator,3,3,5,4,6,6,0,5,4,5,3,6,5,0,0,5,4,4,2,6,2,5,2,3,3,4,0,5,0,0,4,4,2,0,0,0,3,3,4,0,3,4,0,0,3,0,0,3,6,0,0,0,0,0,3,3,0,4,4,0,0,0,3,4,3,0,3,4
