Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,5,4,4,3,4,4,4,4,4,4,3,4,4,3,4,5,4,2,4,3,4,4,4,4,3,4,2,3,3,3,3,2,3,3,4,3,4,4,3,2,4,6,3,2,3,2,4,5,4,4,0,4,3,3,4,4,4,3,5,4,4,5,3,4,4,5,5,4
accordion,4,4,3,4,3,4,2,5,4,3,3,4,4,3,2,4,3,4,4,3,4,4,1,4,4,3,4,5,4,1,0,2,0,6,0,4,3,3,3,2,2,6,2,3,4,3,2,4,4,6,2,2,4,3,5,0,5,2,4,3,0,1,4,3,4,4,4,3
activist,4,4,3,4,3,4,4,3,2,5,3,5,4,4,4,2,2,4,2,2,3,4,4,4,3,2,3,4,4,3,4,3,2,2,2,2,2,4,3,3,4,3,3,3,4,4,4,4,4,5,2,4,4,5,4,4,4,2,3,2,3,4,0,3,5,4,4,3
actor,4,4,4,4,4,4,2,4,4,5,5,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,5,4,4,5,2,5,4,5,5,3,3,4,4,3,3,2,4,4,5,4,3,4,3,5,4,3,5,4,5,3,4,3,4,3,4,4,4,5
advantage,4,4,4,5,5,4,5,5,4,4,3,4,5,4,6,4,4,5,4,4,5,4,3,5,3,4,4,4,3,5,4,4,4,5,6,4,4,4,3,5,3,3,4,4,5,4,4,4,4,6,4,4,4,5,6,4,6,2,5,3,4,3,3,3,4,4,4,4
advice,4,3,5,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,3,2,4,4,2,4,2,2,3,6,4,4,4,2,4,3,4,3,4,4,2,4,4,3,4,4,3,4,3,3,6,4,2,5,4,5,6,5,4,4,3,4,3,4,2,3,4,4,4,4
aggressive,3,2,4,3,2,3,4,4,4,4,3,4,3,3,2,4,4,3,3,3,3,4,4,2,4,4,3,3,4,4,4,4,4,4,2,3,3,3,3,2,3,3,3,4,4,4,3,4,3,4,3,4,4,4,3,3,1,3,2,5,4,4,3,4,5,5,4,4
agreement,5,3,4,4,4,5,4,4,5,5,3,4,4,3,3,4,3,4,3,3,4,4,2,6,4,3,4,4,3,2,4,4,4,4,2,4,4,5,4,4,3,3,4,3,4,3,2,4,3,5,3,5,5,5,5,3,4,3,5,3,3,2,3,2,3,5,4,5
airport,5,4,3,4,4,5,4,4,3,5,2,5,3,3,0,4,2,4,4,3,4,4,3,4,4,4,4,5,3,2,2,4,2,2,1,5,5,4,4,3,4,4,4,3,4,2,3,4,4,5,0,3,3,6,4,2,4,4,4,3,2,2,1,3,4,4,5,3
alligator,4,3,2,3,5,5,3,4,3,4,4,4,4,3,0,5,3,4,4,5,3,6,2,4,3,4,2,3,3,3,4,2,4,2,3,2,2,4,4,0,5,3,3,3,3,3,2,4,6,3,2,2,2,4,2,4,3,4,2,3,2,3,4,4,3,1,4,4
ambulance,5,3,4,5,4,4,4,4,4,4,4,5,4,3,0,4,2,3,3,2,3,5,2,4,4,4,4,4,4,0,2,3,0,0,0,6,3,5,4,2,3,4,3,2,5,2,2,4,4,4,2,2,3,4,6,0,1,2,3,3,0,0,2,2,4,3,4,3
analogy,3,4,3,3,3,3,3,4,4,5,3,3,4,3,2,3,3,3,4,3,4,2,3,4,2,3,3,4,2,3,3,4,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,3,5,4,5,5,4,3,2,4,3,3,3,4,4,5,4,4,3
angry,2,2,4,4,0,3,2,3,3,4,2,2,2,3,2,2,3,2,2,4,3,3,3,3,2,4,3,3,1,3,2,2,2,4,3,2,2,2,2,1,5,3,2,0,2,4,4,4,4,4,3,2,3,4,3,3,1,4,1,5,4,4,4,2,5,3,3,4
animosity,4,3,4,3,3,4,4,3,3,3,3,4,5,5,3,2,4,4,3,4,4,5,4,4,4,3,3,5,4,4,4,2,3,4,4,3,3,3,4,2,4,4,3,4,5,4,2,4,3,3,3,4,2,5,6,4,3,4,3,4,4,3,4,3,4,4,4,4
ant,4,4,4,3,4,2,4,4,3,4,3,5,4,2,1,4,3,3,3,3,6,3,4,4,2,3,2,3,2,3,0,2,2,2,2,3,4,4,3,2,3,3,3,4,4,2,3,4,5,4,1,4,3,3,2,2,3,3,4,3,3,2,2,4,4,4,4,3
apartment,4,5,4,4,3,4,4,4,4,4,3,4,4,3,2,4,3,4,4,3,4,3,4,3,4,2,2,4,3,3,4,4,2,1,1,5,5,5,3,3,4,3,5,3,4,4,2,5,5,4,0,3,3,3,4,2,4,2,5,3,2,2,2,4,5,4,4,3
apology,5,3,3,4,4,4,4,4,4,4,3,4,4,5,2,3,4,3,4,3,4,3,2,4,3,3,3,4,4,4,3,2,3,2,3,0,3,4,3,4,4,4,2,2,5,4,3,4,5,4,6,6,3,4,6,4,5,2,3,4,3,3,2,4,5,3,4,3
applause,5,4,5,2,1,4,2,6,3,5,4,2,3,3,2,2,2,2,3,2,2,2,2,5,3,3,3,5,4,3,2,1,4,6,0,3,2,4,4,2,4,4,2,4,4,2,4,5,3,5,2,5,4,5,5,2,4,3,5,2,3,2,2,4,5,4,5,4
approached,4,4,3,3,4,4,4,4,4,5,5,5,3,4,4,4,4,4,2,2,4,5,4,5,4,5,5,3,5,4,4,5,4,5,4,6,5,3,4,4,4,4,4,3,4,5,4,5,6,5,5,6,4,5,4,4,4,4,5,4,2,3,4,4,4,6,4,5
apricot,3,4,4,4,4,4,5,4,2,4,2,5,3,2,0,4,4,4,4,2,4,3,1,2,3,2,2,4,2,2,5,4,2,0,0,4,4,4,4,2,3,3,3,2,3,2,4,3,4,4,0,3,2,4,4,0,4,2,5,3,2,4,4,3,4,4,4,4
arm,3,3,4,4,3,4,4,4,4,4,4,5,4,2,4,4,3,3,4,4,4,4,3,4,3,3,3,2,3,4,3,2,2,5,1,4,3,4,3,4,4,3,3,4,4,2,2,5,4,5,2,4,4,4,6,4,6,2,4,3,3,2,3,5,4,4,4,4
army,4,4,4,4,3,4,4,4,3,5,4,4,4,3,4,4,3,2,4,4,4,4,3,4,4,4,3,4,2,4,4,4,0,2,0,4,4,4,3,3,3,3,4,3,3,4,4,4,4,6,4,3,4,4,4,3,4,2,5,3,2,2,4,4,4,5,4,5
arrested,3,3,4,3,4,2,3,4,6,2,4,4,4,2,5,3,4,3,4,4,3,1,4,3,3,3,2,4,2,4,4,2,2,1,3,5,4,2,4,4,2,4,4,3,2,5,3,5,5,3,4,4,3,5,4,3,3,4,3,4,3,4,4,3,5,5,4,3
artist,4,3,4,4,5,3,4,4,3,4,4,4,4,5,3,3,2,4,4,4,5,3,3,4,4,2,4,4,4,4,4,3,4,4,3,3,5,4,4,2,4,3,4,3,3,4,4,3,3,4,4,5,3,6,4,0,5,3,4,2,2,4,0,4,4,4,4,4
