Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,3,4,3,4,4,4,3,4,4,4,3,4,4,4,2,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,5,3,4,4,4,4,4,5,4,3,2,3,2,4,5,5,3,0,5,3,4,5,4,4,4,5,4,4,4,4,4,3,5,4,4
accordion,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,2,3,4,2,5,4,0,4,4,3,4,4,4,1,0,2,2,6,1,4,4,4,4,3,3,4,2,4,4,2,3,6,4,6,0,3,1,3,4,0,6,2,4,3,0,2,2,3,3,5,5,3
activist,5,4,4,3,4,3,4,4,5,4,3,5,4,5,4,3,3,4,3,2,4,3,2,4,4,2,3,4,3,4,2,2,4,4,2,3,4,5,4,3,4,4,5,2,3,3,2,5,5,6,3,4,5,3,5,4,4,2,4,3,4,2,0,4,4,3,4,4
actor,3,4,4,4,4,4,4,5,4,4,3,4,4,4,3,4,3,5,4,4,5,4,3,5,4,4,4,4,2,4,4,4,4,5,4,5,3,4,3,2,4,4,3,4,3,3,2,3,4,4,3,4,4,5,3,2,5,3,5,3,4,3,5,4,4,6,4,5
advantage,5,4,4,3,5,4,5,4,4,4,2,3,4,5,6,4,4,4,5,4,5,5,3,4,4,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,5,5,4,4,3,4,6,5,4,5,5,2,5,4,6,4,4,3,3,3,4,4,5,5
advice,5,4,3,4,5,4,4,4,4,4,3,4,4,2,3,4,4,4,3,3,4,4,2,4,4,3,1,3,4,5,4,3,4,3,4,4,4,4,3,3,4,5,5,3,4,4,2,4,5,4,4,5,4,3,5,3,4,3,4,3,3,4,2,2,5,4,4,3
aggressive,3,3,4,3,3,4,3,4,5,4,3,4,4,4,4,3,4,3,2,4,4,4,3,3,4,3,3,4,4,4,4,3,2,4,4,4,2,4,4,4,3,4,4,2,5,4,4,4,4,5,3,3,3,3,3,4,2,3,3,2,3,3,4,3,4,4,3,5
agreement,4,5,4,4,5,4,5,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,2,5,4,4,4,4,3,4,3,3,4,4,2,3,4,4,4,4,3,4,5,2,4,2,4,6,4,5,3,6,4,3,5,3,5,4,4,3,2,3,2,3,5,4,5,4
airport,5,3,3,4,4,5,3,4,3,4,4,5,4,3,2,4,2,4,4,2,4,4,3,3,4,3,4,4,2,2,3,4,0,1,1,4,5,4,4,3,3,3,3,3,3,3,4,4,3,5,0,4,2,4,4,2,4,3,4,2,2,1,3,3,4,4,4,3
alligator,4,2,4,4,5,5,2,5,5,4,4,4,6,2,2,4,4,4,4,5,4,5,3,2,4,3,2,3,2,2,3,4,4,2,2,2,2,4,4,2,3,4,4,3,4,2,4,4,5,4,2,3,2,5,3,4,2,4,4,3,3,2,4,4,4,4,5,3
