Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,4,4,0,4,4,0,4,4,4,4,5,4,4,0,"I need more context about ""this thing"" to provide a rating. Please provide more information or clarify what ""this thing"" refers to.",0,5,3,0,0,4,0,5,4,4,0,0,5,0,0,0,5,4,4,4,0,4,5,4,4,5,5,4,1,3,2,5,5,5,4,0,4,"I'm just an AI, I don't have personal views or self-image, so I would respond with:

0",5,4,5,0,2,2,4,4,0,3,5,4,0,4,4
accordion,4,4,4,4,5,4,5,5,4,4,4,5,5,0,0,5,2,4,2,0,4,4,2,5,5,4,4,5,6,0,0,2,0,6,4,0,4,4,4,0,4,5,0,0,4,4,4,"I'm happy to help! However, I don't think you've provided enough context or information about the ""thing"" you're referring to. Could you please clarify or provide more details about what you're talking about? I want to make sure I give an accurate answer.",3,5,0,4,0,0,4,0,3,0,5,0,0,0,0,0,0,0,4,2
activist,4,4,4,4,4,3,4,4,2,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,5,0,0,4,4,5,3,2,4,4,4,0,2,4,4,4,4,4,2,2,4,5,4,5,5,6,0,5,5,4,5,3,5,0,4,0,4,0,0,3,5,4,5,4
actor,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,0,4,4,0,0,4,5,4,2,1,4,4,5,0,5,3,4,5,4,4,0,4,5,5,4,5,4,4,4,4,6,4,"I'm happy to help! However, I don't think you've provided the ""thing"" you'd like me to consider. Please provide the thing, and I'll do my best to respond with a number from 0 to 6.",5,6,0,4,0,5,4,0,4,0,0,0,0,0,0,0,4,4,5,4
advantage,4,3,4,5,4,3,3,4,4,5,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,3,0,4,0,4,4,4,5,5,5,0,4,6,4,5,4,3,4,4,5,4,4,4,5,4,0,5,5,6,6,2,4,3,4,0,0,0,3,4,5,5,4,5
advice,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,3,0,4,0,0,4,4,4,0,0,5,4,4,2,4,5,2,2,2,2,4,5,6,0,5,0,6,5,0,3,0,4,0,0,0,0,0,5,4,5,2
aggressive,4,5,4,5,5,4,4,5,5,5,4,4,4,4,Please provide the property you'd like me to evaluate.,4,5,4,0,4,0,5,4,5,5,2,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,5,4,"I'm happy to help! However, I don't think we've discussed any property yet, so I'll need more context to provide a rating. Please provide the property in question, and I'll be happy to assist!",4,5,0,5,3,5,0,5,2,4,4,4,4,4,5,4,5,2,5,4
agreement,4,4,0,4,4,2,4,0,3,4,4,2,4,0,0,0,0,0,0,0,5,4,2,4,0,0,0,5,0,0,4,5,4,2,1,0,2,5,2,5,3,4,4,2,4,5,4,4,5,6,0,6,4,5,5,0,5,0,4,0,0,0,0,0,4,4,4,4
airport,6,4,4,4,4,4,4,5,2,0,0,5,4,0,0,0,0,0,0,0,0,0,2,2,6,0,0,3,0,2,0,5,0,0,0,0,5,5,6,2,5,5,1,2,4,2,4,0,5,4,0,2,0,0,5,0,4,2,2,0,0,0,0,0,0,0,2,4
alligator,6,2,3,5,5,5,1,0,2,0,4,6,4,"WAIT, I NEED THE THING TO JUDGE!

Please provide the ""thing"" you want me to evaluate, and I'll give you a number from 0 to 6!",0,4,0,4,2,5,0,4,4,0,4,3,0,4,0,2,4,4,4,0,0,0,4,4,5,0,1,4,0,0,2,0,0,"I'm happy to help! However, I need more context about ""this thing"" to provide an answer. Could you please clarify what ""this thing"" refers to?",5,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,5,2
ambulance,5,5,4,5,4,5,4,5,4,5,5,6,3,0,0,5,5,4,0,0,4,5,5,5,5,5,5,6,3,0,0,5,0,0,0,0,2,5,5,2,4,5,5,0,4,1,4,5,4,5,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,5,5
analogy,5,4,0,4,4,0,4,4,4,4,4,5,2,0,0,4,0,0,0,0,5,4,4,0,0,0,0,4,0,4,2,4,4,5,4,0,2,5,4,4,4,4,4,4,4,4,2,4,5,2,0,6,4,6,5,0,3,0,0,0,0,0,0,0,4,5,4,4
angry,5,2,4,4,4,4,2,4,4,4,2,2,0,4,4,2,4,4,0,4,0,2,4,4,5,4,4,5,4,5,4,4,4,4,2,0,4,4,4,0,5,4,2,4,4,5,4,0,5,5,0,4,"I'm happy to help! However, I must point out that I'm an AI, I don't have personal views, self-image, or emotions. I'm designed to provide information and assist with tasks without personal biases or feelings. Therefore, I would respond with a 0, indicating that I don't have a personal view of myself or a self-image related to the property of anger.",5,1,5,0,3,4,5,5,4,5,4,5,4,5,5
animosity,4,0,4,2,2,3,4,0,4,0,2,2,4,0,0,0,0,0,0,0,4,5,4,2,0,0,0,4,0,1,0,0,4,4,2,0,2,2,2,4,4,4,4,2,4,4,4,4,5,5,0,4,4,5,2,4,0,5,0,4,5,5,4,2,4,0,4,4
ant,6,4,"I'm happy to help! However, I need more information about what ""this thing"" refers to. Could you please provide more context or clarify what you're asking about?",5,4,0,6,4,3,5,6,5,4,0,5,4,0,4,0,3,6,4,0,0,0,0,0,4,0,4,4,5,3,0,4,0,4,4,4,4,4,4,4,5,5,4,4,3,"I'm happy to play along! However, I don't think we've established what ""this thing"" refers to. Could you please clarify or provide more context so I can give a more informed answer? Once you do, I'll provide a number from 0 to 6.",4,0,5,0,6,6,0,0,0,0,0,0,0,0,0,0,5,5,4
apartment,5,"I'm happy to help! However, I don't think we've discussed an ""apartment"" yet, so I don't have any information to base my response on. Could you please provide more context or clarify what you're referring to?",4,2,4,0,"I'm happy to help! However, I don't think we've discussed any specific ""thing"" or apartment yet, so I'll respond with a 0.",0,0,0,0,4,"I apologize, but you didn't provide the ""thing"" or ""apartment"" for me to evaluate. Please provide a description or image of the apartment, and I'll be happy to assist you!",0,0,2,0,5,0,0,4,2,0,0,2,0,0,3,0,0,0,4,0,0,0,0,5,2,5,5,0,2,4,0,4,5,0,4,2,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0
apology,4,4,3,0,0,0,4,0,0,0,2,2,4,0,0,0,0,0,0,0,5,4,2,4,0,0,0,4,0,2,0,0,5,4,0,0,0,4,2,3,2,4,2,2,4,4,4,5,5,6,0,6,4,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0
applause,2,2,0,0,0,0,0,5,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,5,5,2,2,5,2,0,0,0,0,5,0,0,0,0,5,2,4,4,4,5,5,4,5,5,5,6,0,5,4,2,2,0,4,0,4,0,0,0,0,0,2,0,4,2
approached,4,5,3,4,4,4,4,5,4,5,4,5,0,4,4,0,4,4,5,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,5,0,5,4,4,4,5,4,4,4,6,5,4,5,4,5,6,6,0,6,6,0,4,0,4,4,4,0,3,3,5,5,0,0
apricot,4,5,2,5,5,0,4,0,0,0,0,4,4,0,0,2,0,0,5,4,4,1,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,0,3,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1
arm,5,5,"I'm happy to help! However, I need more context about what ""this thing"" refers to. Could you please provide more information or clarify what you're asking about?",4,4,0,6,4,4,5,5,5,"I'm happy to help! However, I don't see any ""thing"" or context to evaluate. Could you please provide more context or clarify what you mean by ""this thing"" so I can assist you better?",0,5,5,0,4,4,4,6,4,4,0,0,0,0,3,0,5,5,4,0,5,1,0,4,6,2,5,5,4,5,4,4,6,0,"I'm happy to help! However, I need more context about ""this thing"" you're referring to. Could you please provide more information or clarify what ""this thing"" is?","I'm happy to help! However, I don't see a ""thing"" mentioned in your prompt. Could you please provide more context or specify what ""this thing"" refers to?",5,0,5,0,4,5,0,0,0,0,0,0,0,0,0,4,5,5,0
army,4,4,3,3,4,5,4,0,5,5,4,4,"I apologize, but I don't have any context about ""this thing"" or what ""army"" refers to in this context. Could you please provide more information or clarify the question? I'd be happy to help once I understand what you're referring to.",0,"I'm happy to help! However, I need more context about what ""this thing"" refers to. Could you please provide more information or clarify what you mean by ""this thing""? I'll do my best to provide a rating once I understand the context.",4,2,0,0,0,3,2,4,0,3,0,0,5,0,0,"I apologize, but I don't think you've provided the ""thing"" in question. Please provide the thing you're referring to, and I'll be happy to respond with a number from 0 to 6.",5,0,2,2,0,4,5,3,0,4,4,2,2,4,4,4,4,"I'm happy to help! However, I need to know what ""this thing"" refers to. Could you please provide more context or clarify what you're asking about?",5,0,4,0,4,4,0,2,0,0,0,0,0,0,0,4,0,4,3
arrested,2,4,3,4,4,3,4,4,2,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,0,2,0,0,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,6,2,5,0,4,0,4,2,4,4,4,4,4,4,4,4,2
artist,4,"I'm happy to help! However, I don't think you've provided the ""thing"" you're referring to. Please provide more context or information about what you'd like me to evaluate, and I'll do my best to assist you.","I'm happy to help! However, I don't think you've provided the ""thing"" you'd like me to evaluate. Please share what you'd like me to assess, and I'll be happy to provide a rating from 0 to 6.",5,4,4,4,4,4,5,4,4,"I'm happy to help! However, I need more context. What is ""this thing"" that you're referring to? Could you please provide more information or clarify what you'd like me to evaluate in terms of visual complexity?",4, Waiting for your prompt...,4,0,0,3,4,6,4,4,4,4,4,"I'm happy to help! However, I need more context about ""this thing"" to provide a rating. Could you please clarify what ""this thing"" refers to?",5,4,4,4,4,4,4,4,0,4,5,4,5,4,4,4,2,4,5,4,5,4,5,0,5,4,6,5,0,4,0,4,2,0,0,0,5,5,5,5,5
