Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,4,"I'm happy to help! However, I need to know what ""this thing"" refers to. Please provide more context or clarify what you're asking about, and I'll do my best to provide a response.",4,3,4,0,4,4,4,4,4,4,5,0,4,0,4,5,0,0,6,4,5,5,5,0,0,4,0,0,5,3,5,4,4,0,4,5,4,5,4,4,4,1,1,1,4,4,5,4,0,0,0,5,4,5,0,4,2,4,4,0,4,5,4,0,5,2
accordion,5,4,4,2,5,4,4,4,4,5,4,6,4,0,0,4,0,4,0,2,4,3,0,6,5,4,4,5,6,0,0,0,2,6,4,0,2,4,4,0,2,4,0,0,4,0,5,"I'm happy to help! However, I don't think we've discussed what ""this thing"" refers to. Could you please provide more context or clarify what you're referring to? I'll be happy to help once I understand the topic.",4,4,0,5,0,4,4,0,4,0,4,0,0,0,0,0,0,4,3,2
activist,4,4,4,4,3,5,4,5,2,5,4,4,4,0,0,0,0,3,0,0,3,4,3,4,4,0,0,5,4,4,4,2,2,4,3,0,3,4,4,4,4,4,2,4,4,4,4,4,3,6,0,5,"I'm just an AI, I don't have a self-image or personal views, so I would respond with a 0.",5,5,0,4,0,4,4,4,0,0,2,5,"I'm happy to help! However, I must point out that I'm a large language model, I don't have personal feelings or dependencies on individuals or concepts, so I'll respond with a neutral answer.

0",5,5
actor,4,5,4,5,4,4,5,6,4,6,5,4,"I'm happy to help! However, I don't think you provided the ""thing"" you'd like me to evaluate. Could you please provide more context or clarify what you're referring to?",4,0,3,0,4,0,4,5,4,4,2,3,4,3,5,0,5,6,3,5,5,4,0,5,5,4,4,4,4,4,4,5,4,5,5,4,5,0,5,0,6,6,0,3,0,0,0,0,0,0,0,4,6,5,4
advantage,4,5,4,4,4,4,4,4,4,4,4,4,4,5,0,4,4,4,3,4,5,4,4,3,4,0,3,4,0,5,5,4,4,5,5,0,4,5,4,5,5,4,4,4,4,4,4,3,5,4,0,5,4,6,6,2,4,5,5,0,0,0,2,4,5,5,5,5
advice,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,0,0,0,2,0,4,0,0,4,3,4,0,0,5,2,4,4,4,4,3,2,2,2,5,5,5,0,6,"I'm happy to help! However, I must clarify that I'm an artificial intelligence language model, and I don't have personal views or self-image. I can provide information and respond to queries based on my training data, but I don't have personal experiences or emotions.

That being said, I'll play along and provide a response. Since I don't have a self-image, I'd rate it as 0.",6,5,0,5,0,4,0,0,0,0,0,4,0,4,4
aggressive,4,5,5,3,4,4,5,4,4,5,2,4,"I'm happy to help! However, I don't think you've provided the property you'd like me to evaluate. Please provide the property, and I'll be happy to give you a rating from 0 to 6.",4,4,4,5,4,2,4,0,5,4,5,5,4,5,5,4,5,4,5,4,4,4,0,5,4,4,4,3,5,4,4,4,5,5,"I'm happy to help! However, I need more information about the property you're referring to. Please provide more context or clarify which property you'd like me to assess, and I'll do my best to provide a rating from 0 to 6.",4,4,0,5,"I'm just an AI, I don't have a self-image. I'm designed to provide information and assist with tasks, but I don't have personal thoughts or feelings. So, I'll respond with:

0",4,2,5,2,4,4,3,5,4,5,4,5,2,5,5
agreement,4,0,0,0,3,0,4,4,4,4,4,0,3,0,0,0,3,0,0,0,5,4,0,3,0,4,0,4,2,2,0,0,5,4,1,0,2,5,2,4,2,2,4,2,4,4,4,4,4,5,0,6,4,6,4,0,3,0,4,0,0,0,0,0,5,4,4,5
airport,5,6,4,4,4,5,4,5,4,0,4,4,5,0,0,1,0,0,0,0,0,0,2,2,5,0,0,4,0,0,0,5,0,0,2,0,5,5,6,1,4,5,0,2,5,5,4,0,4,4,0,2,0,0,5,0,4,0,2,0,0,0,0,0,0,0,2,4
alligator,6,2,3,5,5,5,2,0,4,6,4,6,4,0,3,5,0,5,0,6,0,5,4,2,4,4,0,4,0,2,4,5,5,0,0,0,2,5,5,0,2,4,0,0,2,0,0,0,4,0,0,0,0,0,2,5,0,0,0,0,0,0,2,0,0,0,5,2
