Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,3,"I'm happy to help, but I don't have enough information to provide a response. Can you please provide more context or describe the ""thing"" you're referring to?","I'm happy to provide a response! However, I don't see any information about ""this thing"" you're referring to. Could you please provide more context or clarify what you're asking about?","I need to know what ""this thing"" is in order to provide an answer. Please provide the noun or concept you're referring to.",2,3,5,6,I'm ready to answer. What's the thing?,4,I need more information to answer that question. What thing are you referring to?,6,"I need more information. What is ""this thing"" you are referring to?",I'm ready to answer. What's the thing?,"I'd be happy to help, but you haven't specified what ""this thing"" refers to. Please provide more context or information about the thing you're asking about, and I'll do my best to provide a rating from 0 to 6.","This conversation has just begun. You haven't mentioned a specific ""thing"" yet, so I'll have to respond with: 0",5,"This conversation has just begun. You haven't mentioned a ""thing"" yet. Please provide context.",6,6,4,5,5,6,5,4,0,4,"I'd be happy to provide a response, but you haven't provided ""the thing"" in question.",0,2,4,5,2,5,0,"This is the beginning of the study, I don't have a concept to rate yet. Please provide the thing.","Since you didn't specify a ""thing"", I'll answer based on a general assumption. If you're referring to an object in motion, I would rate it a 6.",3,"There is no ""thing"" specified. Please provide more context or information about the thing you are referring to, and I'll be happy to answer.",4,4,6,0,2,0,4,2,"I'm ready to answer. What is ""this thing"" you'd like me to evaluate?",4,"I need more information. You didn't specify what ""this thing"" is.",5,0,5,2,4,0,0,0,0,0,4,0,4,2,0,5,2
accordion,5,3,4,4,6,3,4,6,4,0,3,6,4,4,0,5,0,5,5,4,5,4,0,5,6,2,5,6,6,0,0,4,5,6,5,0,2,5,4,0,2,2,1,2,6,2,5,4,4,4,0,5,0,0,4,0,4,0,5,0,0,0,0,0,0,0,5,2
activist,2,"I'm not sure what ""thing"" you're referring to, as you didn't specify it. Please provide more context or information about what you're asking about.",4,4,4,4,5,"I'm not sure what ""this thing"" refers to, but I'll provide a general answer since no context is given. Assuming ""this thing"" involves standard definitions of activism and physical movement:

5",4,"I'm happy to respond, but I don't see any ""thing"" provided for me to assess. Please provide the thing you'd like me to evaluate, and I'll respond with a number from 0 to 6.",5,3,6,0,"This conversation has just started. I'm happy to chat with you, but I don't have any context or information to base my answer on. Please provide the ""thing"" you're referring to, and I'll respond with a number from 0 to 6.",0,0,0,0,4,3,"I need more context to provide an accurate answer. What ""thing"" are we referring to? Could you please elaborate?",4,4,4,5,"I don't think there is enough information or context about ""this thing"" to give a meaningful answer.",4,4,4,2,0,4,4,1,0,4,I would rate it a 3,2,0,0,4,4,3,4,4,4,5,5,6,"Since there is no ""thing"" specified for me to assess in terms of activist properties or human-like intentions, I cannot provide a rating without more context. The question appears incomplete as presented.",5,0,5,5,3,4,3,4,1,4,0,0,4,4,0,4,3
actor,4,"I don't see any ""thing"" specified. Please provide more context or information about what you're referring to.",4,"I need more information about ""this thing"". Can you please tell me what ""this thing"" is?",2,"I'm ready to respond. What is ""this thing""?","To respond, I would need to know what ""this thing"" refers to. Could you please provide more context?","I'm happy to, but I don't see ""this thing"" described. Please provide the description, and I'll give you the rating!",0,"I don't have the thing to assess. Please provide the thing, and I'll answer with a number from 0 to 6.","I'm happy to play along, but I don't think you've told me what ""this thing"" is. Please provide more context or information about what you're referring to.",4,"I'd be happy to provide a response, but I don't see any ""thing"" being discussed. Could you please provide more context or clarify what ""thing"" you are referring to?",0,6,4,A brick,"I'd be happy to answer, but I need to know what ""this thing"" is. Please provide more context or information about the object in question.","I need to know what ""this thing"" refers to. Can you please provide the object or substance you'd like me to assess?","I'm not sure, you didn't tell me what ""this thing"" is.",5,A pencil,1,1,6,"I'm ready when you are. What's the ""thing""?","I don't think you specified a ""thing"".",4,5,4,6,"You didn't specify what ""this thing"" is. Please provide the thing you're referring to, and I'll be happy to provide a number from 0 to 6.",4,"I'm ready to answer. What is ""this thing""?",I'm ready to answer. What's the thing?,0,3,6,6,5,"I'm happy to respond, but I need to know what ""this thing"" refers to. Please clarify what you'd like me to evaluate.",5,I'm ready to respond. Please describe the thing.,6,4,3,4,4,5,6,0,6, yardım,4,4,0,4,0,"I'm not given any specific ""thing"" to evaluate, so I'll respond with a generic answer. 

0",4,0,0,0,5,4,Not enough information was given to accurately respond to the query.,4,0
advantage,5,"I don't have any context about ""this thing"". Please provide more information so I can respond accurately.","I'm happy to provide a response, but I need to know what ""this thing"" refers to. Please provide more context or information about what you are asking about.","I'm ready to answer. What is ""this thing""?",0,"I'm happy to respond, but I don't think we've established what ""this thing"" is yet. Could you please tell me what you're referring to?","Since I don't have a ""thing"" to think about, I'll assume you're asking in general. In that case, 5",1,5,"I'd be happy to answer, but I don't see any ""thing"" described. Please provide a description of the thing you'd like me to evaluate, and I'll provide a response from 0 to 6.","I'm happy to provide the response. However, I don't see any ""thing"" mentioned in the question. Could you please provide more context or clarify what ""thing"" you are referring to?",4,5,6,5,"Without knowing what ""this thing"" refers to, I'll provide a neutral response.

4",5,0,4,4,What thing are you referring to?,"I don't think I was provided with the ""thing"" in question. Please provide the context or the object being referred to, and I'll do my best to respond with a number between 0 and 6.",6,2,0,"I'm happy to answer, but I need to know what ""this thing"" refers to. Could you please specify what you're asking about?","I'm happy to play along! However, I don't see a ""thing"" mentioned. Could you please provide more context or specify what ""thing"" you're referring to?

(If you'd like, I can provide a response once you clarify!)","This conversation has just started. I'm happy to answer your question, but I don't know what ""this thing"" refers to. Please provide more context or clarify what you're asking about, and I'll do my best to respond with a number from 0 to 6.",0,5,"I'm ready to answer, but you haven't described the thing yet! Please go ahead and describe the thing you'd like me to rate.",A gum eraser. I'd rate it 5.,"I'm happy to provide an answer, but I need to know what ""this thing"" refers to. Please provide more context or information about what you are asking about, and I'll do my best to provide a response on a scale of 0 to 6.","However, I don't have any context about the ""thing"" you're referring to. Can you please provide more information about what you're asking about?","Since ""this thing"" isn't specified, I'm assuming you're asking me to respond based on no information. In that case, my answer would be:

0",0,"I'm ready when you are. What is ""this thing""?",6,4,"I'd love to answer, but you didn't mention what ""this thing"" is. Please clarify what you're referring to!",5,3,"I'm happy to provide a response, but I don't see a specific thing being referred to. Could you please clarify what ""this thing"" is?",0,4,6,6,2,"I'm happy to play along, but I don't see a ""thing"" to evaluate. Please provide the thing you'd like me to assess, and I'll respond with a number from 0 to 6.",4,6,6,0,4,5,4,3,4,4,0,0,0,0,2,4,"Since you haven't specified what ""this thing"" refers to, I'll respond with a general answer:

0",6,4
advice,1,3,3,5,4,0,4,0,0,0,2,2,6,0,0,0,0,4,0,0,6,5,0,5,4,0,0,3,0,6,0,0,3,2,5,0,0,4,4,"Since this conversation just started and I don't have a physical presence, I would choose a 0.",4,4,4,4,4,2,2,4,4,4,6,6,6,5,6,0,2,0,5,0,0,0,0.,4,2,2,4,5
aggressive,"I'm happy to answer, but I need to know what property you are referring to. Please provide more context or information about the property you'd like me to rate.",5,"I'm happy to provide an answer, but I don't have any context about the property you're referring to. Could you please provide more information or context about the property and its dark visual quality?","I'm happy to provide a response, but I don't think you've given me enough context. You haven't described a property or a color, so I don't know what degree to assign. Can you please provide the additional information?",4,6,"I'm happy to provide a response! However, I don't see a property described in the conversation yet. Could you please provide the property you'd like me to evaluate?",3,5,4,2,5,1,"I'm happy to help, but I don't see any specific property that you are referring to. Please provide the property you would like me to evaluate.",4,5,4,5,3,4,6,5,"Since you haven't provided a property for me to assess, I will choose a hypothetical one for demonstration purposes. If the property is ""a migraine,"" I would rate it a 6.",4,6,4,4,4,4,3,"I'm happy to help, but I don't see a property mentioned. Could you please provide more context or clarify what property you are referring to?","I'm happy to provide a response, but I need the property or description to be provided first.",5,4,3,I don't think you've provided any property or information to evaluate. Please provide more context or information about the property you're referring to.,3,I'm ready to respond. Please describe the property.,4,4,5,4,5,"I'm happy to provide the answer, but I don't see a property mentioned. Please provide the property and I'll give you a number from 0 to 6.",4,6,"I'm happy to play along, but I don't think we've discussed any specific property or period of time yet. Could you please provide more context or information?",0,4,5,2,4,"Not applicable. I'm a large language model, I don't have a self-image.",4,2,5,0,4,4,4,4,4,4,4,5,3,4,4
agreement,4,"This is the beginning of our conversation. I'm happy to chat with you, but I don't have any prior context or ""thing"" to consider. Please provide the topic or concept you'd like me to evaluate, and I'll respond with a score from 0 to 6.",4,That instruction is incomplete.,"I'm happy to help, but I need you to tell me what ""this thing"" is!",This thing has not been established. I'll wait for the thing.,4,4,4,4,2,1,4,0,0,3,0,"Since you didn't specify what ""this thing"" refers to, I'll require more context to provide an accurate answer. 

Please provide more information or clarify what you're referring to, and I'll be happy to help.",0,6,3,4,4,2,6,0,0,4,2,4,0,0,4,5,4,0,2,4,4,3,4,4,1,4,4,6,3,6,5,5,0,6,0,4,4,0,3,3,4,0,0,0,0,0,6,2,2,3
airport,6,4,4,5,4,6,5,5,3,3,3,4,4,0,0,0,0,0,2,0,0,0,2,4,3,0,0,5,0,0,0,4,0,0,0,0,5,4,6,4,2,4,4,4,4,2,2,6,5,5,0,1,0,0,5,0,1,0,2,0,0,0,0,0,1,0,2,4
alligator,5,0,6,5,6,6,0,"Since you didn't provide an image or a specific ""thing"" for me to evaluate, I will default to a score based on a generic alligator.

4","I'm happy to provide a response. However, I don't see any description or context about the ""thing"" being referred to. Could you please provide more information or clarify what you're asking about?",4,5,5,5,0,0,4,0,6,0,6,0,6,4,2,4,6,0,4,0,4,1,3,4,0,0,1,1,1,5,0,3,4,0,6,2,0,3,2,4,0,6,4,0,6,4,3,0,2,2,0,0,0,0,0,2,0,4,3
