Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,0,3,5,0,3,2,3,5,3,3,3,2,3,2,0,3,2,3,3,3,3,3,3,3,2,2,3,2,4,0,3,0,3,1,2,0,3,3,3,3,3,3,3,0,2,2,5,3,5,3,0,3,3,0,3,5,3,3,4,5,5,5,4,3,3,5,2,3
accordion,5,3,2,0,3,3,3,5,2,5,4,5,3,3,0,5,0,2,3,3,5,3,2,5,4,5,2,5,5,0,5,0,5,5,2,0,0,2,4,0,3,2,2,2,3,3,2,3,3,3,0,3,0,2,2,0,5,0,4,2,3,0,2,2,0,3,2,4
activist,5,3,5,2,2,3,2,5,3,2,3,2,4,3,0,3,2,2,2,3,2,3,3,5,3,3,3,3,3,3,2,0,3,2,0,0,0,4,3,2,3,3,2,2,3,3,3,3,4,3,0,3,3,5,3,0,2,0,0,5,0,3,3,2,2,3,3,2
actor,2,2,4,3,3,3,2,5,3,5,3,4,3,0,2,2,3,3,2,2,2,3,2,3,3,3,3,4,3,1,3,2,3,3,3,4,3,3,6,3,4,3,3,3,3,3,3,3,4,5,3,5,3,5,5,3,3,3,3,3,3,5,5,3,3,5,4,3
advantage,3,2,5,3,3,3,3,5,3,5,3,3,3,3,2,2,3,3,3,2,5,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,5,5,3,2,3,4,3,3,5,5,3,4,3,5,4,3,3,3,3,5,6,3,6,3,4,5,5,3
advice,4,3,3,2,3,3,2,5,2,3,3,3,3,0,3,3,0,3,3,0,3,3,3,5,3,3,2,2,0,3,0,0,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,6,5,0,5,3,5,5,3,2,3,3,5,5,5,2,2,4,5,3,4
aggressive,2,3,1,2,3,2,2,5,2,3,3,0,4,3,2,3,2,5,3,5,3,3,3,3,2,2,3,3,2,4,4,2,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,5,3,4,3,3,3,4,0,4,2,4,4,3,5,2,3,3,3,4
agreement,4,3,5,5,3,3,3,3,3,3,3,2,3,0,0,0,3,3,3,0,2,3,2,3,2,3,2,3,1,4,5,0,3,3,4,4,3,4,0,3,3,3,4,3,2,5,3,3,5,5,4,5,3,5,5,5,2,2,3,4,2,3,2,2,3,5,3,3
airport,5,4,3,2,4,3,4,5,2,5,3,5,3,0,0,4,2,3,2,3,3,0,3,4,3,3,3,5,0,3,2,3,2,5,3,0,5,3,5,3,4,5,2,2,4,3,3,3,5,5,0,3,0,0,5,0,2,3,5,0,0,0,2,2,3,5,2,3
alligator,4,2,4,2,5,6,2,5,5,4,3,4,3,2,2,5,2,3,3,4,0,5,3,0,2,3,2,3,0,0,2,3,4,2,5,0,5,3,4,0,5,2,3,2,3,3,2,3,5,0,0,0,0,0,0,4,0,3,2,0,0,3,3,2,0,5,2,2
ambulance,5,3,2,5,4,5,3,5,2,5,3,5,3,0,0,4,2,0,2,3,3,3,4,4,5,3,3,6,2,0,0,2,0,3,1,5,3,3,3,1,3,3,3,3,3,2,3,5,5,6,0,3,0,3,5,0,0,3,2,3,5,2,0,0,0,5,4,0
analogy,5,2,3,2,3,5,2,5,3,3,3,2,3,3,2,0,2,3,3,1,2,3,2,3,2,3,2,2,4,2,3,5,2,2,2,0,3,5,3,5,3,3,2,0,2,3,3,3,5,3,2,5,3,5,4,5,1,2,4,5,5,5,4,3,3,5,4,5
angry,0,2,3,0,3,2,4,2,4,3,3,0,3,3,0,2,4,2,3,4,3,5,3,2,2,5,5,2,3,3,3,5,3,5,3,3,3,6,2,3,3,3,2,2,2,3,3,0,2,3,3,3,3,4,3,0,0,3,2,3,4,3,1,2,3,0,2,4
animosity,0,3,3,3,5,2,2,5,2,3,2,3,5,2,3,3,2,5,3,3,2,4,3,3,3,3,3,3,0,3,2,5,1,4,0,0,3,3,2,3,2,3,3,3,2,5,3,3,5,5,0,4,1,5,6,3,0,3,0,3,3,3,3,0,3,3,3,3
ant,5,4,3,2,4,0,2,3,5,3,3,5,3,3,0,4,0,3,3,2,1,0,3,3,0,3,2,3,0,5,2,2,0,0,4,0,0,3,3,2,2,4,4,3,3,3,3,2,3,2,0,2,0,0,4,3,0,3,3,3,3,2,3,3,3,5,5,2
apartment,5,4,4,3,3,3,3,5,1,5,3,2,3,0,0,5,3,3,3,1,3,0,0,4,4,3,3,3,3,0,3,2,0,2,0,0,4,4,5,5,3,3,4,0,3,5,3,3,3,3,3,2,3,0,3,0,3,2,3,2,0,3,2,2,0,5,5,5
