Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,3,2,3,2,0,4,2,5,3,4,3,2,5,3,4,3,3,3,2,3,3,2,4,3,3,2,2,2,3,0,2,3,3,3,2,0,3,4,2,3,3,3,3,0,2,1,5,3,5,2,2,2,3,3,3,5,2,4,3,3,3,3,3,3,3,2,3,5
accordion,2,3,3,0,2,5,3,5,3,5,3,5,3,0,0,5,0,2,4,3,4,3,2,5,6,5,2,6,5,0,5,0,5,5,0,0,3,2,3,2,3,3,3,3,2,2,3,3,4,3,0,3,3,4,5,0,3,0,5,3,0,0,0,2,0,5,5,3
activist,3,5,4,3,3,0,2,3,3,3,3,3,3,2,0,2,3,2,2,3,2,3,3,3,2,3,3,2,3,2,3,0,3,3,2,0,3,3,3,3,3,5,3,3,2,3,4,3,4,4,0,3,3,4,4,0,2,0,2,3,0,3,3,3,4,2,5,3
actor,5,1,5,3,3,3,2,4,3,4,2,3,3,3,4,0,3,5,3,3,3,3,3,5,3,3,3,5,3,3,3,3,3,4,3,0,2,4,3,2,3,2,3,4,3,5,3,3,5,5,3,5,3,5,4,3,2,3,5,2,5,3,3,4,2,3,5,4
advantage,4,3,3,2,3,3,2,5,3,5,3,3,3,2,3,3,3,3,3,2,5,3,3,2,3,3,3,3,2,4,3,3,3,4,5,2,3,3,2,5,4,2,3,3,3,3,3,3,5,5,3,5,3,5,4,4,4,2,3,2,5,5,2,2,5,5,5,2
advice,4,3,2,2,2,2,2,2,3,4,3,2,3,2,0,3,2,3,2,2,3,3,2,3,0,3,3,3,0,4,1,0,3,2,3,0,3,5,3,5,5,3,2,3,2,3,3,2,5,4,3,6,3,4,6,3,2,3,3,5,5,6,3,2,5,5,3,3
aggressive,2,2,2,3,3,4,1,3,4,5,3,2,3,0,2,2,3,3,0,4,2,2,3,2,2,2,4,2,5,3,3,1,3,3,3,3,3,3,3,5,3,5,3,3,2,3,3,2,3,3,3,4,3,3,3,3,0,3,3,3,2,3,3,3,4,2,2,4
agreement,2,3,5,3,0,3,2,3,2,3,2,2,3,2,3,2,2,3,3,3,3,2,3,5,0,2,3,3,2,5,3,0,2,3,3,0,2,3,2,3,3,2,3,0,5,5,3,5,5,5,0,4,3,5,4,5,3,3,2,3,5,3,3,1,4,5,3,3
airport,5,5,3,2,3,3,2,5,2,5,2,4,3,2,0,5,0,2,0,0,5,0,2,4,3,3,2,4,3,0,2,3,3,2,3,3,5,4,5,5,2,4,2,3,5,3,3,5,3,5,0,3,0,0,5,0,1,3,2,3,0,0,3,2,3,5,3,3
alligator,5,0,4,2,5,6,2,4,5,5,2,5,2,3,3,5,2,4,1,5,2,5,2,0,3,3,3,4,3,0,3,2,4,2,5,6,5,3,4,0,3,4,5,2,3,2,2,4,5,0,0,0,0,0,0,4,0,5,3,0,0,3,2,2,0,3,3,3
